SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190531,-20.707,143.134,2007190703,TS0969,9,9
2007190532,-30.009,146.355,,TS1196,5,7.5
2007190533,-26.181,117.973,,TS0474,8.5,8.5
2007190534,-25.677,149.219,2007191522,TS1094,5.5,6.5
2007190535,-19.742,121.2,,TS0255,8.5,8
2007190536,-25.192,137.937,2007190909,TS0847,6,5
2007190537,-28.603,150.372,,TS1157,6.5,8.5
2007190538,-28.392,150.273,,TS1152,6.5,7.5
2007190539,-29.988,150.777,,TS1191,8.5,8.5
2007190541,-24.958,114.807,,TS0396,7.5,7.5
2007190542,-19.601,145.89,,TS0945,4.5,5.5
2007190543,-28.321,141.409,,TS1156,8.5,9
2007190544,-16.773,138.086,,TS0896,6,6
2007190545,-35.578,150.17,,TS1306,6,6
2007190546,-35.694,142.617,,TS1341,9.5,10
2007190547,-27.845,123.727,,TS0522,8.5,8
2007190548,-18.084,143.92,2007191236,TS0934,4.5,4.5
2007190549,-25.516,123.036,2007191507,TS0412,6.5,7.5
2007190550,-18.623,146.091,,TS0930,6.5,6.5
2007190551,-29.058,153.334,,TS1171,5,5
2007190552,-33.911,136.413,2007190675,TS0006,7,9.5
2007190553,-33.453,150.904,,TS1273,5,5
2007190554,-14.185,129.651,2007190752,TS0673,5.5,6
2007190555,-32.061,125.624,,TS0592,8.5,9
2007190556,-38.156,147.021,,TS1320,4.5,5
2007190557,-34.888,118.001,,TS0630,5.5,5.5
2007190558,-19.23,146.627,,TS0936,7,6.5
2007190559,-23.583,136.62,,TS0813,6.5,6
2007190561,-28.192,133.004,,TS0084,5,5
2007190562,-20.985,132.576,,TS0782,6.5,7
2007190563,-13.107,135.729,,TS0657,6.5,6
2007190564,-21.365,138.274,,TS0978,8,8.5
2007190565,-17.939,123.743,,TS0231,7.5,7.5
2007190566,-29.279,115.166,,TS0455,7,6.5
2007190567,-30.325,144.019,,TS1195,5.5,9
2007190568,-12.497,141.892,2007190154,TS0864,6.5,6.5
2007190569,-33.961,145.56,,TS1274,6.5,8
2007190570,-30.26,123.197,,TS0537,8,8
2007190571,-28.939,146.732,,TS1164,6.5,8.5
2007190572,-17.502,142.358,,TS0909,6.5,6.5
2007190574,-17.198,134.328,,TS0721,6,6
2007190575,-27.216,124.411,,TS0495,7,8.5
2007190576,-12.479,131.085,,TS0644,5,9
2007190577,-25.674,151.247,,TS1104,6.5,8
2007190578,-24.869,134.243,,TS0838,6,6
2007190579,-35.242,148.951,,TS1301,8.5,5
2007190581,-33.54,139.702,,TS0138,10,10
2007190583,-18.045,138.856,2007191063,TS0921,5,5.5
2007190584,-19.997,146.434,,TS0950,6,6
2007190585,-22.282,142.515,,TS0996,6.5,8
2007190586,-17.602,131.576,2007190497,TS0723,6,6
2007190588,-20.85,116.607,,TS0288,8,8.5
2007190589,-41.587,147.236,,TS1377,4.5,6
2007190591,-19.456,141.82,,TS0946,6,9
2007190592,-11.437,132.258,,TS0637,5.5,5.5
2007190593,-18.358,132.239,,TS0737,6.5,6.5
2007190596,-29.247,138.212,,TS0171,9.5,9.5
2007190597,-29.104,150.951,,TS1179,6,6.5
2007190598,-38.477,144.934,,TS1371,4.5,6.5
2007190599,-33.719,135.421,,TS0009,8.5,9.5
2007190601,-24.54,132.634,,TS0829,6.5,6.5
2007190602,-31.33,118.011,,TS0567,6,4
2007190604,-19.617,131.44,,TS0758,6.5,6.5
2007190605,-28.577,150.821,,TS1155,6,7.5
2007190606,-21.861,146.672,,TS0988,5,5
2007190609,-22.611,140.562,2007190527,TS1004,8,7.5
2007190610,-12.389,142.177,,TS0863,6.5,7
2007190611,-38.697,145.884,2007190352,TS1327,4.5,5
2007190613,-36.708,149.895,,TS1314,6,5.5
2007190616,-30.684,132.559,,TS0047,8,9
2007190618,-42.475,146.723,2007191166,TS1383,5,8.5
2007190619,-28.926,148.762,,TS1165,7,4
2007190621,-29.241,137.904,,TS0172,9.5,9.5
2007190622,-28.041,136.053,,TS0089,8,8.5
2007190623,-18.614,132.431,,TS0739,6,6
2007190624,-22.891,139.942,,TS1015,7,7
2007190625,-14.228,135.576,,TS0663,5.5,5.5
2007190626,-24.694,143.124,,TS1064,5.5,4.5
2007190627,-25.694,140.753,,TS1087,6,6.5
2007190628,-19.139,134.608,,TS0747,6.5,5.5
2007190629,-28.892,149.049,,TS1160,9,9
2007190631,-23.217,139.575,2007190506,TS1024,7,9
2007190632,-38.088,144.279,2007190032,TS1317,5,5.5
2007190633,-34.962,137.404,,TS0001,10,10
2007190634,-22.386,114.051,,TS0322,8,8
2007190635,-14.323,144.44,,TS0876,6.5,6.5
2007190636,-31.297,115.56,,TS0566,6.5,8
2007190637,-12.303,134.113,,TS0646,5.5,6
2007190639,-37.774,147.842,,TS1364,9,9
2007190641,-35.012,148.154,,TS1296,6,6
2007190642,-22.993,144.551,,TS1019,7,8.5
2007190643,-32.646,123.984,,TS0599,8.5,8.5
2007190644,-26.475,147.927,,TS1107,5.5,5.5
2007190645,-30.855,147.055,,TS1226,6.5,7.5
2007190646,-24.837,140.584,,TS1069,7,7
2007190647,-16.527,143.472,2007191525,TS0893,6.5,6.5
2007190648,-18.562,131.578,,TS0738,6,6
2007190650,-24.014,135.434,,TS0819,6.5,6.5
2007190651,-31.748,116.672,,TS0575,6,7.5
2007190652,-37.702,148.561,,TS1365,4.5,5
2007190653,-38.191,145.554,,TS1319,5,5
2007190654,-21.622,138.308,,TS0983,7.5,8.5
2007190655,-21.036,130.761,,TS0784,6.5,6.5
2007190657,-15.634,131.13,,TS0699,5,5.5
2007190658,-20.772,120.737,,TS0280,6.5,7
2007190659,-33.65,123.76,2007190739,TS0609,7.5,8.5
2007190661,-27.069,149.714,2007191334,TS1125,6.5,9
2007190663,-30.939,150.531,,TS1220,8.5,8
2007190664,-31.672,121.62,,TS0569,7,8.5
2007190665,-18.614,141.306,,TS0943,5.5,5.5
2007190666,-24.996,130.993,,TS0842,5,5
2007190667,-14.668,141.922,,TS0877,6.5,6.5
2007190669,-21.679,147.243,,TS0986,6,7
2007190670,-25.122,138.466,,TS1072,6,6.5
2007190671,-37.578,141.385,,TS1357,5.5,6
2007190672,-23.811,148.516,,TS1041,5,7
2007190673,-24.278,129.655,,TS0824,8,5
2007190674,-14.734,131.608,,TS0674,5,5.5
2007190675,-33.91,136.412,2007190552,TS0006,7,7
2007190676,-30.715,148.291,,TS1215,6.5,9.5
2007190677,-33.289,143.614,,TS1260,8.5,8.5
2007190679,-21.139,148.914,,TS0979,5.5,6
2007190681,-20.059,141.635,,TS0957,6.5,8
2007190682,-34.932,139.22,,TS0126,8.5,9
2007190683,-23.754,114.391,,TS0363,8,8
2007190684,-20.813,137.635,,TS0777,6,6.5
2007190685,-32.52,151.969,,TS1247,5.5,6
2007190686,-13.441,142.314,2007191430,TS0871,6,5
2007190687,-30.268,147.22,,TS1210,6,5.5
2007190688,-28.813,121.075,,TS0441,6.5,8.5
2007190689,-22.625,149.652,,TS1010,6,9.5
2007190690,-34.913,116.788,,TS0629,5,5
2007190691,-25.996,114.316,,TS0471,8,8
2007190692,-32.692,145.157,2007190335,TS1251,6.5,8
2007190693,-27.395,114.137,,TS0634,7,8.5
2007190694,-27.961,136.076,,TS0090,8.5,9
2007190695,-18.171,133.492,2007190924,TS0728,6.5,6
2007190697,-18.257,135.15,,TS0730,6,6
2007190698,-35.023,144.528,2007190813,TS1297,6,9
2007190699,-42.871,147.7,,TS1388,4.5,6
2007190701,-32.122,118.208,,TS0590,9,5.5
2007190702,-28.768,114.723,,TS0436,6.5,8
2007190703,-20.707,143.134,2007190531,TS0969,9,8.5
2007190704,-31.576,147.177,2007190194,TS1229,5.5,8
2007190705,-27.356,138.096,,TS0182,8,9.5
2007190706,-20.946,117.611,,TS0287,8,9
2007190707,-33.403,117.742,,TS0606,8,8.5
2007190708,-16.625,144.576,,TS0895,6.5,5.5
2007190709,-36.865,148.414,,TS1313,6,7
2007190710,-31.807,117.654,,TS0578,6.5,7.5
2007190711,-12.127,133.692,,TS0640,5.5,5.5
2007190712,-17.936,139.141,,TS0918,6,6
2007190713,-19.498,131.189,,TS0750,6.5,6.5
2007190714,-24.201,151.246,,TS1055,6,7
2007190716,-28.559,138.018,,TS0176,9.5,9.5
2007190717,-30.963,121.292,,TS0549,8,8.5
2007190721,-29.851,146.441,,TS1169,8,8.5
2007190722,-36.774,142.076,,TS1351,4.5,8.5
2007190723,-38.587,146.909,,TS1326,5,6
2007190724,-20.848,130.742,,TS0781,6.5,6.5
2007190725,-25.789,146.599,,TS1100,6.5,6.5
2007190726,-33.61,115.559,,TS0608,6,6
2007190727,-21.101,131.698,,TS0785,6.5,6.5
2007190728,-28.151,135.28,,TS0086,6.5,6.5
2007190730,-34.162,115.184,,TS0621,6.5,6.5
2007190732,-22.303,144.698,2007191450,TS1002,7,8
2007190733,-15.481,135.4,,TS0705,5.5,5.5
2007190735,-31.596,143.478,2007191549,TS1227,9,9.5
2007190737,-22.319,142.533,,TS1000,7,8
2007190738,-25.022,134.481,,TS0831,6,6.5
2007190739,-33.649,123.76,2007190659,TS0609,7.5,8.5
2007190741,-29.266,139.238,,TS0170,9.5,9.5
2007190742,-18.85,141.195,,TS0939,6,6
2007190743,-29.803,138.364,2007190906,TS0165,9.5,9.5
2007190744,-36.224,139.781,,TS0121,10,10
2007190746,-29.011,140.505,2007191241,TS0174,7.5,9.5
2007190747,-23.578,131.138,2007190212,TS0816,5,5
2007190748,-31.272,144.787,,TS1223,8,8.5
2007190750,-29.946,123.699,,TS0534,6,6
2007190751,-28.115,133.511,,TS0085,4.5,4
2007190752,-14.184,129.651,2007190554,TS0673,5.5,5.5
2007190753,-29.297,145.023,2007191299,TS1176,5.5,9
2007190754,-24.263,129.786,,TS0826,8,6
2007190755,-33.094,147.059,,TS1266,6.5,7
2007190756,-22.814,130.337,,TS0810,6.5,6.5
2007190757,-23.465,137.83,,TS0815,6.5,6
2007190758,-19.923,132.596,2007190296,TS0773,6.5,6.5
2007190759,-32.999,146.502,,TS1261,5.5,7.5
2007190761,-31.558,136.363,,TS0033,7,6
2007190762,-26.866,150.159,,TS1118,6.5,9.5
2007190763,-33.876,135.401,,TS0008,9.5,9.5
2007190764,-16.988,138.311,,TS0904,5.5,5.5
2007190766,-31.621,126.824,,TS0571,8.5,9
2007190767,-17.694,141.153,,TS0914,6,8.5
2007190768,-33.157,147.452,2007190425,TS1263,6.5,7.5
2007190769,-30.928,117.383,,TS0551,7.5,8
2007190770,-17.472,130.816,,TS0857,6.5,6.5
2007190771,-31.683,131.939,,TS0032,9.5,9.5
2007190772,-17.636,139.182,,TS0907,5.5,4.5
2007190774,-18.561,140.719,2007190458,TS0927,6.5,7
2007190775,-31.893,152.412,,TS1238,6.5,6
2007190776,-28.314,122.767,,TS0427,6,6.5
2007190778,-37.559,149.149,,TS1360,5,5
2007190779,-36.125,144.981,,TS1345,5,5
2007190781,-38.1,147.038,,TS1316,5,4.5
2007190782,-33.978,149.168,,TS1279,5.5,5.5
2007190783,-21.928,146.926,,TS0993,5,7.5
2007190785,-15.325,129.089,,TS0698,7,6.5
2007190787,-30.275,144.102,,TS1190,6,9
2007190788,-35.347,145.536,2007190193,TS1305,5,6
2007190789,-16.518,143.308,,TS0899,6.5,6
2007190790,-34.763,146.565,,TS1292,6,6
2007190791,-22.385,143.101,,TS0995,8.5,8
2007190792,-12.214,142.993,,TS0862,6.5,6.5
2007190793,-27.376,115.928,,TS0508,7.5,9
2007190794,-28.737,147.114,,TS1168,7,8
2007190795,-24.752,143.901,,TS1066,5.5,6
2007190796,-34.197,144.112,,TS1284,6,9.5
2007190798,-12.427,134.699,2007191229,TS0652,6,6
2007190799,-29.177,124.621,,TS0452,8.5,8.5
2007190802,-30.197,149.502,,TS1201,6,8
2007190803,-25.753,114.202,,TS0421,7.5,8
2007190805,-31.846,119.999,,TS0579,5.5,4
2007190806,-34.841,148.365,,TS1295,6,6
2007190807,-27.084,135.522,,TS0105,6.5,8.5
2007190809,-33.051,134.319,,TS0015,9.5,10
2007190810,-32.121,116.033,,TS0587,6,6
2007190811,-23.054,141.65,,TS1012,7.5,7.5
2007190812,-37.786,144.589,,TS1359,5.5,6.5
2007190813,-35.023,144.528,2007190698,TS1297,6,9.5
2007190814,-32.158,136.785,,TS0023,7,7
2007190816,-19.557,141.014,,TS0947,8,8.5
2007190817,-18.679,132.99,,TS0742,6.5,6.5
2007190818,-34.266,119.403,2007191157,TS0622,6.5,7
2007190819,-28.764,120.623,,TS0448,6.5,8
2007190821,-16.948,142.077,,TS0905,5.5,5.5
2007190822,-30.774,125.899,,TS0591,9,8
2007190823,-41.66,144.934,,TS1380,4,4.5
2007190825,-20.308,141.159,2007191214,TS0976,7.5,8.5
2007190826,-20.902,129.349,2007191052,TS0780,6.5,6.5
2007190827,-27.199,119.954,2007191440,TS0498,8.5,8.5
2007190829,-19.988,120.217,,TS0265,6,6
2007190830,-20.149,138.039,,TS0954,4.5,5.5
2007190831,-16.819,141.322,,TS0897,6,7
2007190832,-29.692,133.476,,TS0060,8,9.5
2007190833,-22.934,136.784,,TS0807,6,6
2007190834,-33.829,120.794,2007190889,TS0616,6.5,6.5
2007190835,-31.268,131.691,,TS0038,9.5,9.5
2007190836,-22.714,114.349,,TS0330,9,8.5
2007190838,-29.372,146.72,,TS1180,6,8
2007190839,-25.447,151.667,,TS1089,6.5,7.5
2007190841,-22.411,139.96,,TS0999,9,7.5
2007190842,-19.543,140.856,,TS0955,7,7.5
2007190843,-22.651,150.461,,TS1008,6.5,6
2007190844,-34.577,135.572,,TS0003,9.5,9.5
2007190846,-25.755,142.358,,TS1101,9.5,8
2007190847,-34.664,138.488,,TS0128,9,9
2007190848,-25.202,135.691,,TS0844,6,6.5
2007190849,-28.434,146.655,2007191277,TS1151,7.5,7.5
2007190850,-16.736,123.909,,TS0213,7.5,7.5
2007190851,-32.251,138.162,,TS0147,9,9
2007190852,-21.02,130.103,,TS0779,6.5,6.5
2007190853,-32.272,137.754,2007190939,TS0146,8.5,5
2007190854,-30.535,135.539,,TS0052,9.5,9.5
2007190855,-26.608,118.166,,TS0487,7.5,7.5
2007190856,-15.046,135.21,2007190357,TS0684,5.5,5.5
2007190857,-24.255,135.233,,TS0825,7.5,7.5
2007190858,-18.139,141.168,,TS0924,6,4.5
2007190859,-20.876,116.513,,TS0289,8.5,9
2007190861,-29.545,116.714,,TS0461,5.5,7
2007190862,-16.161,136.757,,TS0706,6,6
2007190864,-29.353,117.818,,TS0464,6.5,8
2007190865,-30.744,136.905,2007191183,TS0046,8.5,8.5
2007190866,-15.102,133.076,,TS0686,6,6.5
2007190867,-23.557,145.805,,TS1032,6.5,6
2007190868,-14.827,130.185,,TS0678,6,5.5
2007190870,-31.988,137.209,,TS0025,4.5,5.5
2007190871,-33.592,122.173,,TS0613,6,8
2007190874,-17.409,130.775,2007191297,TS0722,6,6
2007190875,-28.132,136.783,2007190256,TS0087,8.5,8.5
2007190876,-20.402,147.35,2007190035,TS0968,5,5
2007190877,-34.984,116.63,,TS0631,4.5,6
2007190878,-25.589,152.7,,TS1084,5,5
2007190879,-14.715,132.081,,TS0679,5.5,5.5
2007190881,-27.699,117.984,,TS0513,7,7
2007190882,-17.752,131.534,,TS0729,6,5.5
2007190883,-26.546,115.485,,TS0477,7.5,7.5
2007190884,-16.644,135.845,,TS0714,6,6
2007190885,-35.776,143.92,,TS1340,5,9
2007190886,-38.661,146.274,,TS1328,5,5
2007190887,-13.799,130.417,2007191058,TS0659,5.5,6
2007190888,-33.503,135.329,,TS0010,10,10
2007190889,-33.83,120.794,2007190834,TS0616,6.5,6.5
2007190890,-31.202,119.294,,TS0553,8,8
2007190891,-21.869,136.077,,TS0794,6,6
2007190894,-31.129,124.31,,TS0560,7.5,8.5
2007190895,-29.701,147.369,2007190947,TS1188,7.5,9
2007190896,-28.266,117.389,2007191441,TS0429,7.5,7.5
2007190897,-25.37,151.084,,TS1070,7.5,7
2007190898,-27.132,152.507,,TS1127,5.5,5.5
2007190901,-31.351,120.209,,TS0564,8,8.5
2007190902,-37.71,144.838,,TS1363,6,6
2007190903,-13.583,135.697,,TS0660,6,5.5
2007190904,-20.054,119.311,,TS0268,7.5,8
2007190905,-20.201,133.871,,TS0766,6.5,6.5
2007190906,-29.803,138.365,2007190743,TS0165,9.5,9.5
2007190907,-32.156,135.857,,TS0024,8,8.5
2007190909,-25.192,137.937,2007190536,TS0847,6,6
2007190910,-20.799,134.242,,TS0778,6.5,6.5
2007190912,-22.284,148.942,,TS0994,6,8.5
2007190913,-30.693,134.281,2007190107,TS0048,7.5,7
2007190914,-27.387,117.765,,TS0511,6,5.5
2007190915,-25.193,115.511,,TS0406,7.5,8
2007190916,-20.109,132.99,,TS0765,6.5,7
2007190917,-22.646,119.969,,TS0334,8,8
2007190918,-35.25,138.995,,TS0125,7,8.5
2007190919,-19.558,147.103,,TS0949,5,5
2007190921,-18.805,143.277,,TS0935,6,4.5
2007190922,-35.084,139.885,2007191082,TS0127,6,9.5
2007190923,-25.742,114.295,,TS0469,8.5,9
2007190924,-18.171,133.492,2007190695,TS0728,6,6.5
2007190925,-17.235,138.678,,TS0906,4.5,4
2007190926,-31.829,145.277,,TS1236,6.5,6.5
2007190927,-30.752,152.192,2007191444,TS1217,7,7
2007190928,-26.289,116.889,,TS0480,6.5,8.5
2007190929,-29.445,153.21,,TS1182,5,4.5
2007190930,-15.503,142.538,,TS0885,6.5,7
2007190931,-23.835,130.379,,TS0817,5,5
2007190932,-22.861,120.289,,TS0341,6,7
2007190933,-26.645,141.803,,TS1106,7,8.5
2007190936,-26.392,146.248,,TS1113,6,5.5
2007190939,-32.272,137.754,2007190853,TS0146,8.5,7.5
2007190941,-12.105,142.278,,TS0861,6,6.5
2007190942,-17.661,123.392,,TS0225,6.5,8.5
2007190943,-30.918,144.012,,TS1213,9,10
2007190945,-31.447,152.74,,TS1225,7,6.5
2007190946,-21.644,129.678,,TS0791,6,6.5
2007190947,-29.701,147.369,2007190895,TS1188,8,9
2007190948,-23.934,135.849,,TS0821,6,6.5
2007190949,-32.448,136.005,2007191504,TS0021,9.5,9.5
2007190950,-24.118,136.89,,TS0830,6.5,6
2007190951,-28.176,115.702,,TS0423,8,10
2007190952,-31.584,127.66,,TS0588,9,8.5
2007190953,-30.938,116.051,,TS0557,5.5,6.5
2007190954,-33.518,116.807,,TS0607,5,5.5
2007190955,-34.151,138.261,,TS0134,7.5,8.5
2007190958,-20.228,148.495,,TS0953,5,4.5
2007190959,-30.3,115.197,,TS0541,5,6.5
2007190962,-17.078,124.067,2007190197,TS0217,6,7
2007190963,-15.67,129.896,,TS0696,6.5,6
2007190964,-34.984,142.06,,TS1331,9,9
2007190966,-17.347,124.367,,TS0224,7,7
2007190967,-31.177,135.341,,TS0041,8,9
2007190968,-28.035,141.91,2007191437,TS1148,7.5,8.5
2007190969,-32.945,141.452,,TS1258,8,9
2007190970,-41.049,144.675,2007191245,TS1372,4.5,5
2007190971,-14.738,134.047,,TS0677,6,6
2007190972,-32.681,141.678,,TS1255,8.5,9
2007190973,-28.362,119.589,,TS0430,6.5,7.5
2007190974,-18.576,136.116,2007190419,TS0741,5,5.5
2007190975,-29.382,126.292,,TS0453,8,8.5
2007190976,-25.045,117.587,,TS0401,8,8
2007190978,-32.4,150.371,2007190241,TS1244,5,8.5
2007190979,-20.402,141.335,,TS0962,7.5,8.5
2007190982,-34.033,144.826,,TS1286,9,8.5
2007190984,-27.532,115.218,2007190039,TS0515,7.5,9
2007190985,-21.652,136.649,,TS0795,6.5,6
2007190986,-22.237,134.557,2007191592,TS0796,6.5,5.5
2007190989,-25.147,116.933,2007190342,TS0404,7,8.5
2007190990,-16.533,142.057,2007191537,TS0894,5,5.5
2007190991,-34.335,146.578,,TS1289,6,8
2007190992,-24.331,147.444,,TS1058,5,6.5
2007190993,-41.192,146.252,,TS1376,5,4.5
2007190994,-17.975,135.576,,TS0731,6,5.5
2007190995,-33.34,138.065,,TS0139,9,8
2007190996,-24.835,130.729,,TS0841,5,9
2007190997,-29.718,125.256,,TS0530,8,8.5
2007190998,-14.976,141.799,,TS0880,6.5,7
2007190999,-28.556,147.407,,TS1154,7,9.5
2007191001,-17.993,145.93,,TS0920,6.5,6.5
2007191002,-20.447,130.642,,TS0768,8,7.5
2007191003,-22.729,115.698,,TS0337,7.5,8
2007191004,-35.541,138.577,2007190457,TS0124,6,6
2007191005,-19.929,147.844,,TS0951,4.5,5
2007191006,-22.339,119.241,,TS0326,8,8
2007191007,-23.106,149.868,2007191551,TS1031,6.5,7
2007191008,-19.32,131.641,,TS0753,6,6
2007191011,-20.803,142.263,,TS0971,9,8.5
2007191012,-41.438,147.171,,TS1378,5,4
2007191013,-15.295,134.101,,TS0692,5.5,6
2007191014,-34.05,141.068,,TS1282,5,6.5
2007191015,-24.938,152.203,,TS1071,6.5,7
2007191016,-15.287,135.527,,TS0688,5.5,6
2007191018,-25.059,113.971,,TS0405,7,7.5
2007191019,-18.225,139.9,,TS0929,7,6.5
2007191021,-23.293,113.921,,TS0347,8.5,8.5
2007191022,-30.917,141.914,,TS1222,9,9.5
2007191023,-15.612,135.84,,TS0694,5.5,6
2007191024,-24.399,148.585,,TS1067,6,5
2007191025,-28.263,120.093,,TS0426,7.5,8.5
2007191027,-32.345,121.706,2007190434,TS0593,8,8
2007191028,-19.015,138.725,2007191531,TS0938,5,5
2007191029,-32.298,148.624,,TS1246,7,8
2007191030,-29.526,143.219,,TS1177,8.5,7
2007191031,-24.977,138.736,2007190155,TS1073,7,6
2007191032,-16.753,123.995,,TS0214,7,7
2007191035,-21.82,145.262,,TS0987,6,7
2007191036,-28.766,140.889,,TS0175,8,9.5
2007191037,-31.828,148.849,,TS1233,6,5.5
2007191038,-19.236,136.378,,TS0749,8,7
2007191039,-22.908,138.862,,TS1003,8,9
2007191042,-32.642,120.578,,TS0597,6.5,6.5
2007191043,-17.738,123.645,,TS0227,7,7
2007191044,-17.191,141.729,,TS0903,6.5,6.5
2007191045,-25.686,151.78,2007190114,TS1095,6.5,7.5
2007191046,-15.707,142.619,,TS0886,6.5,6.5
2007191047,-30.529,121.203,,TS0543,8.5,8.5
2007191050,-35.396,143.65,2007190393,TS1334,4.5,4.5
2007191051,-24.085,143.132,2007191331,TS1045,5,4.5
2007191052,-20.902,129.349,2007190826,TS0780,6.5,6.5
2007191053,-25.891,147.818,2007190091,TS1099,6,6.5
2007191056,-14.972,129.841,,TS0681,6,5
2007191057,-29.755,119.737,,TS0449,6.5,8
2007191058,-13.798,130.417,2007190887,TS0659,5.5,6
2007191059,-27.823,153.001,2007190005,TS1137,5.5,6
2007191061,-27.992,147.488,,TS1147,5,9.5
2007191062,-25.508,120.235,,TS0415,7.5,8.5
2007191063,-18.046,138.857,2007190583,TS0921,5,5
2007191065,-31.462,143.137,,TS1230,9,6.5
2007191066,-31.123,139.562,2007191379,TS0156,9.5,9.5
2007191067,-31.775,145.227,,TS1231,6,6.5
2007191068,-18.384,129.418,,TS0736,4.5,4.5
2007191069,-16.886,138.152,,TS0898,6.5,6.5
2007191070,-31.898,132.964,,TS0027,9.5,9.5
2007191071,-18.936,135.859,,TS0745,8.5,8.5
2007191073,-17.296,141.179,,TS1166,7.5,8
2007191074,-15.368,141.959,,TS1167,6,6
