production Level,shire,state,Straw Yield /Ha Cereal Crop Average over 5 years,total residues,residue type,residue description,period,residue unit
2.5 - 3,Albany,Western Australia,2.53,46238,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010,2009 - 2010,Tonnes/LGA
2 - 2.5,Beverley,Western Australia,2.14,84722,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2.5 - 3,Boddington,Western Australia,2.62,8653,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2.5 - 3,Boyup Brook,Western Australia,2.65,20486,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Brookton,Western Australia,1.47,54339,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Broomehill-Tambellup,Western Australia,2.12,146358,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Bruce Rock,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Carnamah,Western Australia,0.85,47605,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Chapman Valley,Western Australia,1.58,163888,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Chittering,Western Australia,2.39,14005,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Coorow,Western Australia,0.74,44921,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Corrigin,Western Australia,0.93,90820,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Cranbrook,Western Australia,2.21,47503,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Cuballing,Western Australia,1.66,35858,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Cunderdin,Western Australia,1.46,113235,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Dalwallinu,Western Australia,1.32,304865,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2.5 - 3,Dandaragan,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Dowerin,Western Australia,1.22,90544,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Dumbleyung,Western Australia,1.6,129134,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Esperance,Western Australia,2.48,996889,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Geraldton-Greenough,Western Australia,1.6,53071,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Gingin,Western Australia,2.28,2341,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Gnowangerup,Western Australia,1.92,209394,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Goomalling,Western Australia,1.86,114245,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Irwin,Western Australia,1.98,28675,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Jerramungup,Western Australia,1.84,153571,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Katanning,Western Australia,1.91,73583,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Kellerberrin,Western Australia,1.23,82086,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Kent,Western Australia,1.46,191402,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Kojonup,Western Australia,2.33,60823,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Kondinin,Western Australia,1.09,162419,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Koorda,Western Australia,0.58,36053,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Kulin,Western Australia,0.97,142893,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Lake Grace,Western Australia,1.12,371191,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Merredin,Western Australia,0.77,86993,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Mingenew,Western Australia,1.73,117814,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Moora,Western Australia,2.18,211340,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Morawa,Western Australia,0.57,41554,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Mount Marshall,Western Australia,0.69,80921,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Mukinbudin,Western Australia,0.72,74012,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Mullewa,Western Australia,0.89,107611,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Narembeen,Western Australia,0.9,111333,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Narrogin,Western Australia,1.78,57519,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Northam,Western Australia,2.13,46512,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Northampton,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Nungarin,Western Australia,0.67,32197,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0 - 0.5,Perenjori,Western Australia,0,0,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Pingelly,Western Australia,1.5,46813,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2.5 - 3,Plantagenet,Western Australia,2.53,52713,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Quairading,Western Australia,1.57,106119,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Ravensthorpe,Western Australia,1.76,213718,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Tammin,Western Australia,0.97,45928,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Three Springs,Western Australia,1,55859,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Toodyay,Western Australia,2.24,34153,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Trayning,Western Australia,0.72,37616,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Victoria Plains,Western Australia,2.42,143041,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Wagin,Western Australia,1.68,78892,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Wandering,Western Australia,2.05,26999,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,West Arthur,Western Australia,2.33,50230,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Westonia,Western Australia,0.7,72097,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1 - 1.5,Wickepin,Western Australia,1.13,64731,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Williams,Western Australia,2.14,48779,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
1.5 - 2,Wongan-Ballidu,Western Australia,1.74,203735,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,Woodanilling,Western Australia,2.15,37770,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0.5 - 1,Wyalkatchem,Western Australia,0.74,43755,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
0 - 0.5,Yilgarn,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2 - 2.5,York,Western Australia,2.11,72406,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
